Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
Amen Thompson,HOU,69,32.3,43,26,1.4,1.3,5.4,1.8,3.1,56.8
Andrew Nembhard,IND,65,28.9,44,21,1.2,0.2,2.8,1.5,2.3,68
Anfernee Simons,POR,70,32.7,28,42,0.9,0.1,2.3,1.9,2.4,76.9
Anthony Edwards,MIN,79,36.3,48,31,1.2,0.6,4.9,1.7,2.6,66.5
Austin Reaves,LAL,73,34.9,46,27,1.1,0.3,3.7,2.5,3.3,75.4
Bennedict Mathurin,IND,72,29.9,43,29,0.7,0.3,4.1,2.4,3.5,68.5
Bilal Coulibaly,WAS,59,33,13,46,1.3,0.7,3.4,2.1,3.2,64
Bogdan Bogdanović,LAC,54,25,33,21,0.8,0.2,2.5,1.7,2.3,73.6
Bradley Beal,PHX,53,32.1,22,31,1.1,0.5,2.7,2.2,2.9,77
Brandin Podziemski,GSW,64,26.8,38,26,1.1,0.2,4.1,1.4,2,66.4
Bub Carrington,WAS,82,30,18,64,0.7,0.3,3.8,1.3,1.7,75.9
CJ McCollum,NOP,56,32.7,17,39,0.8,0.4,3,1.7,2.2,77.9
Cade Cunningham,DET,70,35,38,32,1,0.8,5.3,2.2,3.7,59.5
Cason Wallace,OKC,68,27.6,55,13,1.8,0.5,2.3,1.5,2.1,69.4
Chris Paul,SAS,82,28,34,48,1.3,0.3,3.2,1.6,2.1,79.3
Christian Braun,DEN,79,33.9,48,31,1.1,0.5,3.9,1.6,2.4,66.3
Coby White,CHI,74,33.1,35,39,0.9,0.2,3.4,1.8,2.4,74.7
Collin Sexton,UTA,63,27.9,14,49,0.7,0.1,1.8,1.2,1.6,71.6
D'Angelo Russell,BKN,58,25.5,26,32,1,0.4,2.4,1.8,2.6,68.9
Damian Lillard,MIL,58,36.1,32,26,1.2,0.2,4.2,1.7,2.1,79.8
Darius Garland,CLE,75,30.7,60,15,1.2,0.1,2.2,1.2,1.7,67.7
Davion Mitchell,MIA,74,27.4,25,49,1,0.2,1.8,1.3,1.7,75.4
De'Aaron Fox,SAS,62,36.1,27,35,1.5,0.4,3.9,1.7,2.4,73.3
De'Andre Hunter,CLE,64,27.2,38,26,0.8,0.2,3.3,1.5,2.3,66.7
DeMar DeRozan,SAC,77,35.9,38,39,0.8,0.4,3.2,2,2.7,73.9
Dennis Schröder,DET,75,28.1,37,38,0.9,0.2,2.3,1.3,1.7,74
Derrick White,BOS,76,33.9,58,18,0.9,1.1,3.6,2.1,3.6,58
Desmond Bane,ORL,69,32,38,31,1.2,0.4,5.2,1.6,2.3,66.5
Devin Booker,PHX,75,37.3,35,40,0.9,0.2,3.1,1.9,2.7,72.6
Devin Vassell,SAS,64,31,24,40,1.3,0.5,3.5,1.7,2.7,62.9
Dillon Brooks,HOU,75,31.8,49,26,0.8,0.2,2.7,2,2.7,72.7
Donovan Mitchell,CLE,71,31.4,55,16,1.3,0.2,3.7,1,1.5,66
Donte DiVincenzo,MIN,62,25.9,37,25,1.2,0.3,3.2,1.3,2,64.8
Dyson Daniels,ATL,76,33.8,37,39,3,0.7,4.3,2.6,4,66.2
Fred VanVleet,HOU,60,35.2,41,19,1.6,0.4,3.2,1.6,2.2,71.8
Gary Trent Jr.,MIL,74,25.6,44,30,1,0.1,2,0.8,1.2,70.9
Gradey Dick,TOR,54,29.4,15,39,0.9,0.2,2.8,1.7,2.3,75
Isaiah Collier,UTA,71,25.9,14,57,0.9,0.2,2.9,1.3,1.6,80.5
Ja Morant,MEM,50,30.4,30,20,1.2,0.2,3.4,1.6,2.2,71.6
Jalen Brunson,NYK,65,35.4,40,25,0.9,0.1,2.5,1.7,2.3,75.2
Jalen Green,HOU,82,32.9,52,30,0.9,0.3,4,1.9,2.8,68.1
Jalen Williams,OKC,69,32.4,55,14,1.6,0.7,4.5,1.5,2.7,55.9
Jamal Murray,DEN,67,36.1,41,26,1.4,0.5,3.2,2.4,3.6,66.9
James Harden,LAC,79,35.3,50,29,1.5,0.7,5.1,2,2.7,75.2
Jaylen Brown,BOS,63,34.3,46,17,1.2,0.3,4.5,1.6,2.3,67.6
Jayson Tatum,BOS,72,36.4,53,19,1.1,0.5,8,2.1,3.1,69.4
Jordan Poole,WAS,68,29.4,15,53,1.3,0.4,2.5,1.4,1.8,77.5
Josh Giddey,CHI,70,30.2,33,37,1.2,0.6,6.3,2.5,3.5,70.6
Josh Green,CHA,68,27.8,17,51,1.1,0.2,1.7,1,1.4,74.7
Josh Hart,NYK,77,37.6,48,29,1.5,0.4,7.5,3.4,4.8,71.9
Jrue Holiday,BOS,62,30.6,47,15,1.1,0.4,3,1.4,2,71.1
Kelly Oubre Jr.,PHI,60,34.6,21,39,1.5,0.5,4.5,2.9,4.2,69.5
Kentavious Caldwell-Pope,MEM,77,29.6,38,39,1.3,0.4,1.8,1.1,1.4,74.5
Keyonte George,UTA,67,31.5,13,54,0.7,0.1,3.4,2,2.4,82.6
Klay Thompson,DAL,72,27.3,33,39,0.7,0.4,2.8,1.1,1.8,63.5
Kyrie Irving,DAL,50,36.1,28,22,1.3,0.5,3.6,2,2.7,75.9
Luguentz Dort,OKC,71,29.2,57,14,1.1,0.5,2.9,1.2,1.9,61.5
Luka Dončić,LAL,50,35.4,31,19,1.8,0.4,7.4,1.9,2.9,64.4
