PLAYER,TEAM,AGE,POSITION,GP,G,FREQ%,DFGM,DFGA,DFG%,FG%,DIFF%
Jamal Murray,DEN,28,G,67,67,100,7.8,16.5,47.7,46.2,1.5
Austin Reaves,LAL,27,G,73,73,100,7.7,15.6,49.2,45.9,3.3
Josh Hart,NYK,30,G,76,76,100,7.5,15.5,48.4,46.4,2.1
Dyson Daniels,ATL,22,G,76,76,100,7.3,15,48.6,46.9,1.7
De'Aaron Fox,SAS,27,G,62,62,100,7.1,14.9,47.6,45.9,1.6
Cade Cunningham,DET,23,G,70,70,100,6.5,14.8,44.1,46.4,-2.3
Dillon Brooks,HOU,29,G-F,75,75,100,6.7,14.2,46.8,46.9,-0.1
Josh Giddey,CHI,22,G,70,70,100,6.7,14.1,47.7,46.6,1.1
Derrick White,BOS,30,G,76,76,100,6.1,13.9,44,46,-2
OG Anunoby,NYK,27,F-G,73,73,100,6.2,13.8,44.8,46.5,-1.7
Kelly Oubre Jr.,PHI,29,F-G,60,60,100,6.5,13.4,48.1,46.6,1.5
Scottie Barnes,TOR,23,F-G,65,65,100,6.1,13.4,45.7,47.3,-1.6
Bradley Beal,PHX,32,G,53,53,100,6.3,13.4,47,45.7,1.2
James Harden,LAC,35,G,79,79,100,6.2,13.1,47.4,46.8,0.6
Zach LaVine,SAC,30,G,74,74,100,5.9,13.1,45.3,46.1,-0.8
Mikal Bridges,NYK,28,G-F,80,80,100,6,13,46.4,45.6,0.9
CJ McCollum,NOP,33,G,56,56,100,5.9,12.8,45.7,46.1,-0.3
Christian Braun,DEN,24,G,79,79,100,6,12.5,48.1,46.1,2.1
Shai Gilgeous-Alexander,OKC,26,G,76,76,100,5.5,12.5,44.2,46.7,-2.5
Keyonte George,UTA,21,G,67,67,100,6.2,12.3,50.7,46.1,4.5
Devin Booker,PHX,28,G,75,75,100,6,12.3,49.3,46.2,3.2
RJ Barrett,TOR,25,F-G,58,58,100,5.9,12.3,48.2,46.4,1.8
Jrue Holiday,BOS,35,G,62,62,100,5.4,12.2,44.4,46.5,-2.1
Jalen Brunson,NYK,28,G,64,64,100,6,12.2,48.7,45.5,3.2
Damian Lillard,MIL,34,G,58,58,100,5.6,12.2,46.1,45.7,0.4
Tyrese Maxey,PHI,24,G,52,52,100,5.5,12,45.4,45.8,-0.4
Fred VanVleet,HOU,31,G,60,60,100,5.5,12,46.1,46,0.1
Tyler Herro,MIA,25,G,77,77,100,5.8,12,48.5,45.5,3.1
Andrew Nembhard,IND,25,G-F,65,65,100,5.6,11.9,46.9,45.6,1.3
Trae Young,ATL,26,G,76,76,100,5.7,11.9,48.3,44.9,3.4
Tyrese Haliburton,IND,25,G,73,73,100,5.6,11.9,47.2,44.9,2.3
