PLAYER,TEAM,GP,W,L,MIN,PTS,DRIVES,"Drive
PTS","Drive
FG%","C&S
PTS","C&S
FG%","Pull Up
PTS","Pull Up
FG%","Paint
Touch PTS","Paint
Touch FG%","Post
Touch PTS","Post
Touch FG%","Elbow
Touch PTS","Elbow
Touch FG%",eFG%,Shot Quality,"Assisted 2s
 PTS","Unassisted 2s
 PTS","Assisted 3s
 PTS","Unassisted 3s
 PTS"
Amen Thompson,HOU,69,43,26,32.3,14.1,7.5,3.4,45.8,1.1,29.2,1,35.4,4.8,70.1,0.1,100,0.7,50,57.5,0.56,5.51,5.01,1.04,0.04
Andrew Nembhard,IND,65,44,21,28.9,10,8.4,4.2,52.6,2.1,32.1,2.8,43.2,0.4,65,0,0,0.3,66.7,50.6,0.51,2.86,3.17,1.94,0.42
Anfernee Simons,POR,70,28,42,32.7,19.3,9.3,6.1,47,5,37.7,6.9,38.3,0.2,50,0,0,0.1,50,52.1,0.51,1.4,6.14,5.61,3.6
Anthony Edwards,MIN,79,48,31,36.3,27.6,13.2,8.5,48.4,3.5,42.2,11.3,37.8,0.9,57.8,0.2,23.1,0.6,76,54.7,0.54,3.9,6.25,5.77,6.38
Austin Reaves,LAL,73,46,27,34.9,20.2,10.6,6.9,51.8,4.8,40,5.3,38.4,0.6,61.8,0,0,0.4,68.2,55.6,0.52,3.34,4.25,5.92,2.3
Bennedict Mathurin,IND,72,43,29,29.9,16.1,7,4.9,48.2,2.4,42.9,3.1,31.6,2.1,62.8,0,0,0.8,55.9,51.6,0.54,4.75,3.39,2.92,1.17
Bilal Coulibaly,WAS,59,13,46,33,12.3,8,3.9,41.1,2.6,26.9,1.4,28.5,1.9,67.6,0,0,0.6,83.3,47.2,0.55,3.46,3.32,2.9,0.31
Bogdan Bogdanović,LAC,54,33,21,25,10.8,5.6,2.8,51.2,4.5,37.7,3.1,42.2,0.4,47.6,0,0,0.2,66.7,53.4,0.55,2.5,0.75,5,0.5
Bradley Beal,PHX,53,22,31,32.1,17,9.8,5.9,59.2,4.6,41,4.5,42,1.1,65.7,0,100,0.6,57.7,57.1,0.52,4.75,4.42,5.04,0.74
Brandin Podziemski,GSW,64,38,26,26.8,11.7,5.5,2.8,46.7,3.7,40.1,3.5,38.6,1.1,63.6,0,100,0.4,52,53.7,0.51,2.84,2.31,4.55,0.84
Bub Carrington,WAS,82,18,64,30,9.8,4.3,1.8,43.4,2.6,32.7,4.6,42,0.5,53.1,0,0,0.3,76.9,49.3,0.51,1.9,2.05,3.37,1.68
CJ McCollum,NOP,56,17,39,32.7,21.1,11,6.9,47.8,5.2,41.2,7.4,37.8,0.4,52.9,0,100,0.3,56.3,53,0.52,4.32,5.43,6.75,2.41
Cade Cunningham,DET,70,38,32,35,26.1,17.1,12.3,51.4,2.6,38.9,8,41.4,0.8,49.1,1,55.2,0.8,59,52.1,0.51,3.49,11.8,3.64,2.74
Cason Wallace,OKC,68,55,13,27.6,8.4,4.6,2,46.8,3,37,0.7,31.3,1.3,76.8,0,0,0.3,83.3,55,0.57,2.62,2.03,3.22,0.04
Chris Paul,SAS,82,34,48,28,8.8,4.1,1.5,53.8,2,39.4,5.4,42.4,0.1,62.5,0.1,50,0.1,42.9,54.7,0.51,0.59,2.07,2.52,2.6
Christian Braun,DEN,79,48,31,33.9,15.4,3.4,2.2,52.8,2.7,39,1.2,43.2,3.9,73.1,0,0,1.6,75.4,63.4,0.59,7.47,2.33,3,0.38
Coby White,CHI,74,35,39,33.1,20.4,12.6,6.6,53,5.3,38.6,5.1,37.9,0.2,72.7,0,0,0.2,100,55,0.55,2.65,5.24,6.65,2.11
Collin Sexton,UTA,63,14,49,27.9,18.4,12.5,8.4,50.9,2.8,42.8,4.7,41.1,1,48.3,0,0,0.2,33.3,54.3,0.51,3.62,6.1,3.57,1.67
D'Angelo Russell,BKN,58,26,32,25.5,12.6,6.1,3.9,48.3,2.7,27.6,4.5,35.9,0.3,50,0,0,0.3,61.5,47.9,0.52,2.1,2.59,3.41,2.43
Damian Lillard,MIL,58,32,26,36.1,24.9,11.6,7.5,53.7,4.5,41.3,9,40.4,0.2,55.6,0,0,0.1,25,54.7,0.54,1.34,7.17,5.84,4.34
Darius Garland,CLE,75,60,15,30.7,20.6,14.5,7.7,53.2,4,42,7.5,41.3,0.3,62.5,0,0,0.3,66.7,56.2,0.53,3.01,6.11,4.84,3.64
Davion Mitchell,MIA,74,25,49,27.4,7.9,8.1,2.9,51.4,2.3,39,1.4,37.9,0.1,28.6,0,0,0.2,83.3,55.7,0.56,1.05,2.7,2.8,0.61
De'Aaron Fox,SAS,62,27,35,36.1,23.5,15.2,10.1,53.7,3.1,32.5,7.5,40.5,1.4,65.6,0,0,0.4,60,51.4,0.51,4.32,9.26,3.82,1.89
De'Andre Hunter,CLE,64,38,26,27.2,17,4.9,3.7,49.7,6.2,41.4,3,44.1,1.5,70.4,0.4,54.5,0.6,46.4,57.3,0.54,4,2.28,6.7,0.66
DeMar DeRozan,SAC,77,38,39,35.9,22.2,9.5,6.5,55.7,3.6,37.6,9.5,47.2,0.7,59.5,2.3,48.9,0.7,54.5,50.9,0.46,5.09,8.94,2.88,0.39
Dennis Schröder,DET,75,37,38,28.1,13.1,10.1,4.9,44.1,3.5,35.2,3.9,39.7,0.1,50,0,0,0.1,66.7,48.3,0.5,0.5,4.21,3.84,1.24
Derrick White,BOS,76,58,18,33.9,16.4,4.8,3.1,56.1,7.4,40.5,4.2,38.5,0.8,71.1,0,0,0.3,100,58,0.54,1.95,2.24,8.45,2.01
Desmond Bane,ORL,69,38,31,32,19.2,10.5,5.7,52.5,3.5,42.1,5.7,40.8,1.2,64.9,0,0,0.4,57.9,56.5,0.53,4.03,5.48,4.52,2.61
Devin Booker,PHX,75,35,40,37.3,25.6,14,8,52.5,4.2,38,10,43.4,1.3,58.9,0.3,50,0.5,44.4,52.5,0.51,5.41,7.15,5.24,2.08
Devin Vassell,SAS,64,24,40,31,16.3,7.3,4.3,50.2,6.1,39.2,5.2,42.1,0.4,54.5,0,50,0.4,75,53.2,0.53,4.03,3.34,6.38,1.03
Dillon Brooks,HOU,75,49,26,31.8,14,4,2.3,38.2,6.5,42,3.2,40.5,1.1,55.1,0.7,61.1,0.5,61.5,53.3,0.52,2.35,2.93,7.16,0.28
Donovan Mitchell,CLE,71,55,16,31.4,24,12.1,8,52.8,4.3,39.8,8.5,37.7,0.6,53.3,0.1,50,0.2,54.5,53.1,0.53,2.2,7.72,5.32,4.52
Donte DiVincenzo,MIN,62,37,25,25.9,11.7,4.9,1.9,48,6.2,41.2,2.3,36.5,0.3,44.4,0,0,0.1,25,56.8,0.55,1.45,1,7.16,1.26
Dyson Daniels,ATL,76,37,39,33.8,14.1,10.3,4.4,46,3,37,0.9,29.8,2.6,59.6,0,0,1.1,71.7,53.6,0.55,5.11,4.76,2.96,0.2
